Conference Committee Group,Conference Committee,Name,Email,Status,Contacted,Easychair,country,affiliation,image
GENERAL CHAIRS,General Chair,Sahar Vahdati,,,,,"Dresden, Germany",TU Dresden,Sahar_Vahdati.png
GENERAL CHAIRS,General Chair,Annalisa Gentile,,,,,"San Francisco, USA",IBM Research,Annalisa_Gentile.jpeg
GENERAL CHAIRS,General Chair,Ronald Siebes,,,,,"Amsterdam, Netherlands",VU Amsterdam ,Ronald__Siebes.png
EVENT COORDINATOR,Event  Coordinator,Julia Holze,,,,,"Leipzig, Germany",Institute for Applied Informatics (InfAI),Julia_Holze.jpg
INTERACTIVE SESSION CHAIRS,Interactive Session Chair,Christian Dirschl,,,,,"Munich, Germany",Wolters Kluwer,Christian_Dirschl.jpg
INTERACTIVE SESSION CHAIRS,Interactive Session Chair,Ute John,,,,,"Wendland, Germany",WissensWertSchöpfung | GfWM,Ute_John.jpg
INTERACTIVE SESSION CHAIRS,Interactive Session Chair,Silvio Perroni,,,,,"Bologna, Italy",University of Bologna,SilvioPerroni.png
INDUSTRY CHAIRS,Industry Chair,Marco Brattinga,,,,,Netherlands,Ordina,Marco_Brattinga.jpg
INDUSTRY CHAIRS,Industry Chair,Ioanna Lytra,,,,,"Vienna, Austria",Semantic Web Company,Ioanna_Lytra.jpg
INDUSTRY CHAIRS,Industry Chair,Elwin Folmer,,,,,"Gelderland, Netherlands",Apeldoorn,Elwin_Folmer.jpeg
PROGRAM CHAIRS,Program Chair,Maribel Acosta,,,,,"Heilbronn, Germany",Technical University of Munich,Maribel_Acosta.jpg
PROGRAM CHAIRS,Program Chair,Andreas Behrend,,,,,"Cologne, Germany",TU of Cologne,AndreasBehrend.jpg
RESEARCH AND INNOVATION CHAIRS,Research and Innovation Chair,Angelo Salatino,,,,,"Milton Keynes, UK","KMi, The Open University",Angelo_Salatino.jpg
RESEARCH AND INNOVATION CHAIRS,Research and Innovation Chair,Mehwish Alam,,,,,"Paris, France"," Télécom Paris, Institut Polytechnique de Paris",Mehwish_Alam.png
RESEARCH AND INNOVATION CHAIRS,Research and Innovation Chair,Femke Ongenae,,,,,"Ghent, Belgium","IDLab research group - Ghent University – imec",Femke_Ongenae.png
POSTER AND DEMO CHAIRS,Poster and Demo Chair,Anelia Kurteva,,,,,"London, UK",King's College London,Anelia_Kurteva.jpeg
POSTER AND DEMO CHAIRS,Poster and Demo Chair,Francesco Osborne,,,,,"Milton Keynes, UK","KMi, The Open University",Francesco_Osborne.jpeg
WORKSHOP AND TUTORIALS CHAIRS,Workshop and Tutorials Chair,Andrea Manocci ,,,,,"Pisa, Italy",CNR-ISTI,Andrea_Mannocci.jpg
WORKSHOP AND TUTORIALS CHAIRS,Workshop and Tutorials Chair,Daniel Garijo,,,,,"Madrid, Spain",Universidad Politécnica de Madrid,Daniel_Garijo.png
SPONSORING CHAIR,Sponsoring  Chair,Martin Kaltenböck,,,,,"Vienna, Austria",Semantic Web Company,Martin_Kaltenbock.jpg
PROCEEDINGS CHAIRS,Proceedings Chair,Tassilo Pellegrini,,,,,Austria,UAS St. Pölten ,Tassilo_Pellegrini.jpeg
PROCEEDINGS CHAIRS,Proceedings Chair,Shufan Jiang ,,,,,Germany,FIZ Karlsruhe,ShufanJiang.png
PUBLICITY CHAIRS,Publicity Chair ,Blerina Spahiu,,,,,"Milan, Italy",University of Milan - Bicocca,Blerina_Spahiu.jpeg
PUBLICITY CHAIRS,Publicity Chair,Asal Alikhani,,,,,"Dresden, Germany",elevait GmbH & Co. KG,Asal_Alikhani.jpeg
PUBLICITY CHAIRS,Publicity Chair - Graduate School,Frank Loebe,,,,,"Leipzig, Germany","Leipzig University, ScaDS.AI Dresden/Leipzig",Frank_Loebe.jpg
WEB CONTENT CHAIRS,Web Content Chair,Livio Pompianu,,,,,"Cagliari, Italy",University of Cagliari,Livio_Pompianu.jpg
WEB CONTENT CHAIRS,Web Content Chair ,Enrique Iglesias,,,,,"Hannover, Germany",L3S group,EnriqueIglesias.png
WEB CONTENT CHAIRS,Web Content Chair ,Sanaz Alipour,,,,,"Tabriz, Iran",,SanazAlpr.jpg
KNOWLEDGE GRAPH CHAIR,Knowledge Graph  Chair,Ana Iglesias-Molina,,,,,"Madrid, Spain",Universidad Politécnica de Madrid,Ana_Iglesias.jpeg
DIGITAL CONTENT CHAIR,Digital Content  Chair,Mélisa Machuret,,,,,"Villa De Leyva, Boyacá, Colombia",Better Way Devs,Melisa_Machuret.png
LOCAL ORGANIZER,Local  Organizer,Sanne Paulusma,,,,,"The Hague, The Netherlands",TNO,Sanne_Paulusma.jpg
